WINDOW_LABEL,PLAN_BUCKET,PLAN_CLICKERS,PLAN_CLICK_TO_SUB,PLAN_CLICK_TO_SUBSCRIBE_RATE
1_pre,0_all,1811,364,0.20099392600773053
1_pre,1_anon,1040,66,0.06346153846153846
1_pre,2_free,730,294,0.40273972602739727
1_pre,3_paid,41,4,0.0975609756097561
2_post_2wk,0_all,852,196,0.2300469483568075
2_post_2wk,1_anon,499,38,0.07615230460921844
2_post_2wk,2_free,342,157,0.4590643274853801
2_post_2wk,3_paid,11,1,0.09090909090909091
3_post_8wk,0_all,3079,777,0.25235466060409223
3_post_8wk,1_anon,1748,158,0.09038901601830664
3_post_8wk,2_free,1271,605,0.4760031471282455
3_post_8wk,3_paid,60,14,0.23333333333333334
4_post_8wk_clean,0_all,2066,542,0.2623426911907067
4_post_8wk_clean,1_anon,1147,96,0.08369659982563209
4_post_8wk_clean,2_free,882,436,0.4943310657596372
4_post_8wk_clean,3_paid,37,10,0.2702702702702703
