WINDOW_LABEL,STEP_ORDER,STEP,N,CUMULATIVE_RATE,STEP_RATE
1_pre,1,Pricing Visitors,15334,1,
1_pre,2,Entered Persona Flow,8633,0.5629972609886527,0.5629972609886527
1_pre,3,Selected Persona,7065,0.4607408373548976,0.818371365689795
1_pre,4,Clicked Plan,1816,0.1184296334941959,0.2570417551309271
1_pre,5,Subscribed,499,0.03254206338854832,0.2747797356828194
2_post_2wk,1,Pricing Visitors,7016,1,
2_post_2wk,2,Entered Persona Flow,3857,0.5497434435575826,0.5497434435575826
2_post_2wk,3,Selected Persona,3129,0.4459806157354618,0.8112522686025408
2_post_2wk,4,Clicked Plan,855,0.12186431014823261,0.27325023969319273
2_post_2wk,5,Subscribed,272,0.03876852907639681,0.31812865497076026
3_post_8wk,1,Pricing Visitors,27038,1,
3_post_8wk,2,Entered Persona Flow,14137,0.5228567201716103,0.5228567201716103
3_post_8wk,3,Selected Persona,11462,0.4239218877135883,0.8107802221121879
3_post_8wk,4,Clicked Plan,3085,0.11409867593756935,0.2691502355609841
3_post_8wk,5,Subscribed,1085,0.04012870774465567,0.35170178282009723
4_post_8wk_clean,1,Pricing Visitors,18046,1,
4_post_8wk_clean,2,Entered Persona Flow,9325,0.516735010528649,0.516735010528649
4_post_8wk_clean,3,Selected Persona,7585,0.42031475119139977,0.8134048257372655
4_post_8wk_clean,4,Clicked Plan,2070,0.1147068602460379,0.27290705339485827
4_post_8wk_clean,5,Subscribed,735,0.04072924747866563,0.35507246376811596
