WINDOW_LABEL,PERSONA,PERSONA_SELECTORS,PERSONA_SHARE,SUBSCRIBERS,PER_PERSONA_CONVERSION
1_pre,Youtuber/Content Creator,2683,0.3797593772116065,134,0.049944092433842714
1_pre,Student/Hobbyist,1674,0.23694267515923567,115,0.06869772998805257
1_pre,Freelancer,1438,0.2035385704175513,125,0.08692628650904033
1_pre,Other,724,0.10247699929228592,46,0.06353591160220995
1_pre,Podcast,333,0.04713375796178344,18,0.05405405405405406
1_pre,Wedding Filmmaker,213,0.030148619957537155,25,0.11737089201877934
2_post_2wk,Youtuber/Content Creator,1129,0.3608181527644615,67,0.05934455270150576
2_post_2wk,Student/Hobbyist,743,0.23745605624800256,75,0.1009421265141319
2_post_2wk,Freelancer,737,0.23553851070629594,81,0.10990502035278155
2_post_2wk,Other,318,0.10162991371045062,25,0.07861635220125786
2_post_2wk,Podcast,112,0.035794183445190156,6,0.05357142857142857
2_post_2wk,Wedding Filmmaker,90,0.028763183125599234,10,0.1111111111111111
3_post_8wk,Youtuber/Content Creator,3927,0.34261036468330136,285,0.07257448433919023
3_post_8wk,Student/Hobbyist,2928,0.2554528005583668,268,0.09153005464480875
3_post_8wk,Freelancer,2582,0.2252660966672483,267,0.10340821068938807
3_post_8wk,Other,1265,0.11036468330134357,107,0.08458498023715415
3_post_8wk,Podcast,386,0.033676496248473214,28,0.07253886010362694
3_post_8wk,Wedding Filmmaker,374,0.03262955854126679,47,0.12566844919786097
4_post_8wk_clean,Youtuber/Content Creator,2569,0.33869479235332894,198,0.07707279096924874
4_post_8wk_clean,Student/Hobbyist,1949,0.2569545154911009,196,0.10056439199589533
4_post_8wk_clean,Freelancer,1740,0.22940013183915622,183,0.10517241379310345
4_post_8wk_clean,Other,841,0.11087673038892551,70,0.08323424494649227
4_post_8wk_clean,Wedding Filmmaker,244,0.03216875411997363,29,0.11885245901639344
4_post_8wk_clean,Podcast,242,0.03190507580751483,18,0.0743801652892562
