WINDOW_LABEL,PLAN_NAME,PLAN_CLICKERS,PLAN_CLICK_SHARE,SUBSCRIBERS,PER_PLAN_CONVERSION
1_pre,Pro Yearly,878,0.4834801762114537,158,0.17995444191343962
1_pre,Personal Monthly,315,0.17345814977973567,109,0.346031746031746
1_pre,Personal Yearly,275,0.15143171806167402,68,0.24727272727272728
1_pre,Pro Plus Yearly,225,0.12389867841409692,36,0.16
1_pre,Pro Monthly,199,0.10958149779735683,90,0.45226130653266333
1_pre,Pro Yearly with Warner Chappell Production Music,151,0.08314977973568281,21,0.1390728476821192
1_pre,Business Quarterly,145,0.07984581497797356,19,0.1310344827586207
1_pre,Business Yearly,109,0.06002202643171806,15,0.13761467889908258
1_pre,Pro Plus Monthly,27,0.01486784140969163,2,0.07407407407407407
1_pre,Pro Monthly with Warner Chappell Production Music,26,0.014317180616740088,8,0.3076923076923077
1_pre,Pro Plus with Warner Chappell Production Music Yearly,14,0.007709251101321586,3,0.21428571428571427
1_pre,Pro Plus with Warner Chappell Production Music Monthly,2,0.0011013215859030838,0,0
2_post_2wk,Pro Yearly,402,0.47017543859649125,82,0.20398009950248755
2_post_2wk,Personal Monthly,168,0.19649122807017544,64,0.38095238095238093
2_post_2wk,Pro Plus Yearly,166,0.19415204678362574,27,0.16265060240963855
2_post_2wk,Personal Yearly,117,0.1368421052631579,33,0.28205128205128205
2_post_2wk,Pro Monthly,98,0.11461988304093568,38,0.3877551020408163
2_post_2wk,Business Quarterly,62,0.07251461988304093,8,0.12903225806451613
2_post_2wk,Business Yearly,49,0.05730994152046784,5,0.10204081632653061
2_post_2wk,Pro Plus Monthly,28,0.03274853801169591,11,0.39285714285714285
3_post_8wk,Pro Yearly,1434,0.46482982171799025,335,0.23361227336122734
3_post_8wk,Personal Monthly,661,0.21426256077795786,267,0.4039334341906203
3_post_8wk,Pro Plus Yearly,599,0.19416531604538087,123,0.20534223706176963
3_post_8wk,Personal Yearly,448,0.14521880064829823,127,0.28348214285714285
3_post_8wk,Pro Monthly,359,0.11636952998379255,137,0.3816155988857939
3_post_8wk,Business Quarterly,230,0.07455429497568881,38,0.16521739130434782
3_post_8wk,Business Yearly,197,0.06385737439222042,17,0.08629441624365482
3_post_8wk,Pro Plus Monthly,84,0.027228525121555915,33,0.39285714285714285
4_post_8wk_clean,Pro Yearly,952,0.4599033816425121,230,0.2415966386554622
4_post_8wk_clean,Personal Monthly,455,0.21980676328502416,196,0.4307692307692308
4_post_8wk_clean,Pro Plus Yearly,411,0.19855072463768117,85,0.20681265206812652
4_post_8wk_clean,Personal Yearly,295,0.14251207729468598,89,0.3016949152542373
4_post_8wk_clean,Pro Monthly,245,0.11835748792270531,94,0.3836734693877551
4_post_8wk_clean,Business Quarterly,149,0.07198067632850241,25,0.16778523489932887
4_post_8wk_clean,Business Yearly,118,0.057004830917874394,12,0.1016949152542373
4_post_8wk_clean,Pro Plus Monthly,57,0.02753623188405797,26,0.45614035087719296
