COLUMN_NAME,DATA_TYPE
SUBSCRIPTION_ID,TEXT
SOUNDSTRIPE_SUBSCRIPTION_ID,NUMBER
SOUNDSTRIPE_USER_ID,NUMBER
SOUNDSTRIPE_ACCOUNT_ID,NUMBER
CUSTOMER_ID,TEXT
CONVERTING_SESSION_ID,TEXT
LAST_UTM_TERM_NON_DIRECT,TEXT
LAST_UTM_SOURCE_NON_DIRECT,TEXT
LAST_UTM_MEDIUM_NON_DIRECT,TEXT
LAST_UTM_CONTENT_NON_DIRECT,TEXT
LAST_UTM_CAMPAIGN_NON_DIRECT,TEXT
LAST_REFERRING_DOMAIN_NON_DIRECT,TEXT
LAST_REFERRER_NON_DIRECT,TEXT
LAST_CHANNEL_NON_DIRECT,TEXT
START_DATE,TIMESTAMP_TZ
END_DATE,TIMESTAMP_NTZ
CANCELLED_AT,TIMESTAMP_NTZ
CURRENT_TERM_START,TIMESTAMP_NTZ
CURRENT_TERM_END,TIMESTAMP_NTZ
PLAN_ID,TEXT
PLAN_TYPE,TEXT
NEW_PLAN_GROUPING,TEXT
BILLING_PERIOD_UNIT,TEXT
AMOUNT,FLOAT
STICKER_PRICE,FLOAT
CASH,FLOAT
MONTHLY_REVENUE,FLOAT
MONTHLY_AMOUNT,FLOAT
SUBSCRIPTION_COUNT,NUMBER
MAX_SUBSCRIPTION_COUNT,NUMBER
SUBSCRIPTION_COUNT_LABEL,TEXT
ADDON_ITEMS,ARRAY
ADDON_PRICE,ARRAY
WCPM_ADDON,BOOLEAN
LAST_WC_TRIAL_END_TS,TIMESTAMP_NTZ
