MONTH_START,TOTAL_ACTIVE_SUBS,VISITORS,PCT_SESSION_RATE,DOWNLOADERS,PCT_VISITORS_DOWNLOADING,SEARCHERS,PCT_VISITORS_SEARCHING
2025-03-01 00:00:00.000000000,43596,20350,46.7,15028,73.8,15148,74.4
2025-04-01 00:00:00.000000000,43134,20011,46.4,14910,74.5,14883,74.4
2025-05-01 00:00:00.000000000,42616,19628,46.1,14758,75.2,14829,75.6
2025-06-01 00:00:00.000000000,41770,18774,44.9,13912,74.1,13810,73.6
2025-07-01 00:00:00.000000000,41008,18379,44.8,13525,73.6,13608,74.0
2025-08-01 00:00:00.000000000,40216,17914,44.5,13243,73.9,13236,73.9
2025-09-01 00:00:00.000000000,39540,17695,44.8,13226,74.7,13295,75.1
2025-10-01 00:00:00.000000000,38820,17646,45.5,13215,74.9,13366,75.7
2025-11-01 00:00:00.000000000,38014,17260,45.4,12565,72.8,12917,74.8
2025-12-01 00:00:00.000000000,36734,15935,43.4,11712,73.5,12127,76.1
2026-01-01 00:00:00.000000000,35340,15148,42.9,10778,71.2,11163,73.7
2026-02-01 00:00:00.000000000,34335,14140,41.2,10202,72.1,10409,73.6
