MONTH_START,TENURE_COHORT,TOTAL_ACTIVE_SUBS,VISITORS,PCT_SESSION_RATE,DOWNLOADERS,PCT_VISITORS_DOWNLOADING,SEARCHERS,PCT_VISITORS_SEARCHING
2025-03-01 00:00:00.000000000,2022,5227,2053,39.3,1507,73.4,1533,74.7
2025-03-01 00:00:00.000000000,2023,6508,2505,38.5,1786,71.3,1816,72.5
2025-03-01 00:00:00.000000000,2024,10490,4056,38.7,2679,66.1,2789,68.8
2025-03-01 00:00:00.000000000,2025+,3635,2558,70.4,1850,72.3,1919,75.0
2025-03-01 00:00:00.000000000,Pre-2022,17736,9178,51.7,7206,78.5,7091,77.3
2025-04-01 00:00:00.000000000,2022,5051,1948,38.6,1414,72.6,1415,72.6
2025-04-01 00:00:00.000000000,2023,6243,2332,37.4,1643,70.5,1669,71.6
2025-04-01 00:00:00.000000000,2024,9765,3676,37.6,2494,67.8,2616,71.2
2025-04-01 00:00:00.000000000,2025+,4703,3067,65.2,2196,71.6,2222,72.4
2025-04-01 00:00:00.000000000,Pre-2022,17372,8988,51.7,7163,79.7,6961,77.4
2025-05-01 00:00:00.000000000,2022,4891,1892,38.7,1390,73.5,1392,73.6
2025-05-01 00:00:00.000000000,2023,5988,2212,36.9,1603,72.5,1656,74.9
2025-05-01 00:00:00.000000000,2024,9153,3338,36.5,2284,68.4,2419,72.5
2025-05-01 00:00:00.000000000,2025+,5571,3397,61.0,2404,70.8,2475,72.9
2025-05-01 00:00:00.000000000,Pre-2022,17013,8789,51.7,7077,80.5,6887,78.4
2025-06-01 00:00:00.000000000,2022,4743,1798,37.9,1320,73.4,1317,73.2
2025-06-01 00:00:00.000000000,2023,5771,2119,36.7,1479,69.8,1517,71.6
2025-06-01 00:00:00.000000000,2024,8591,3073,35.8,2097,68.2,2171,70.6
2025-06-01 00:00:00.000000000,2025+,6044,3353,55.5,2365,70.5,2358,70.3
2025-06-01 00:00:00.000000000,Pre-2022,16621,8431,50.7,6651,78.9,6447,76.5
2025-07-01 00:00:00.000000000,2022,4589,1731,37.7,1259,72.7,1260,72.8
2025-07-01 00:00:00.000000000,2023,5540,1986,35.8,1411,71.0,1449,73.0
2025-07-01 00:00:00.000000000,2024,8094,2881,35.6,1952,67.8,2003,69.5
2025-07-01 00:00:00.000000000,2025+,6467,3441,53.2,2366,68.8,2448,71.1
2025-07-01 00:00:00.000000000,Pre-2022,16318,8340,51.1,6537,78.4,6448,77.3
2025-08-01 00:00:00.000000000,2022,4459,1676,37.6,1220,72.8,1205,71.9
2025-08-01 00:00:00.000000000,2023,5315,1883,35.4,1333,70.8,1387,73.7
2025-08-01 00:00:00.000000000,2024,7635,2688,35.2,1849,68.8,1898,70.6
2025-08-01 00:00:00.000000000,2025+,6851,3538,51.6,2459,69.5,2491,70.4
2025-08-01 00:00:00.000000000,Pre-2022,15956,8129,50.9,6382,78.5,6255,76.9
2025-09-01 00:00:00.000000000,2022,4319,1624,37.6,1210,74.5,1201,74.0
2025-09-01 00:00:00.000000000,2023,5136,1788,34.8,1262,70.6,1319,73.8
2025-09-01 00:00:00.000000000,2024,7214,2545,35.3,1754,68.9,1789,70.3
2025-09-01 00:00:00.000000000,2025+,7265,3750,51.6,2651,70.7,2717,72.5
2025-09-01 00:00:00.000000000,Pre-2022,15606,7988,51.2,6349,79.5,6269,78.5
2025-10-01 00:00:00.000000000,2022,4182,1589,38.0,1159,72.9,1181,74.3
2025-10-01 00:00:00.000000000,2023,4921,1749,35.5,1275,72.9,1302,74.4
2025-10-01 00:00:00.000000000,2024,6829,2433,35.6,1680,69.1,1753,72.1
2025-10-01 00:00:00.000000000,2025+,7612,3860,50.7,2762,71.6,2822,73.1
2025-10-01 00:00:00.000000000,Pre-2022,15276,8015,52.5,6339,79.1,6308,78.7
2025-11-01 00:00:00.000000000,2022,4064,1535,37.8,1093,71.2,1141,74.3
2025-11-01 00:00:00.000000000,2023,4725,1751,37.1,1221,69.7,1273,72.7
2025-11-01 00:00:00.000000000,2024,6476,2345,36.2,1533,65.4,1635,69.7
2025-11-01 00:00:00.000000000,2025+,7839,3785,48.3,2670,70.5,2761,72.9
2025-11-01 00:00:00.000000000,Pre-2022,14910,7844,52.6,6048,77.1,6107,77.9
2025-12-01 00:00:00.000000000,2022,3916,1465,37.4,1052,71.8,1097,74.9
2025-12-01 00:00:00.000000000,2023,4457,1568,35.2,1115,71.1,1167,74.4
2025-12-01 00:00:00.000000000,2024,6020,1979,32.9,1384,69.9,1465,74.0
2025-12-01 00:00:00.000000000,2025+,7948,3586,45.1,2436,67.9,2612,72.8
2025-12-01 00:00:00.000000000,Pre-2022,14393,7337,51.0,5725,78.0,5786,78.9
2026-01-01 00:00:00.000000000,2022,3750,1375,36.7,969,70.5,1017,74.0
2026-01-01 00:00:00.000000000,2023,4245,1503,35.4,1037,69.0,1085,72.2
2026-01-01 00:00:00.000000000,2024,5621,1844,32.8,1249,67.7,1325,71.9
2026-01-01 00:00:00.000000000,2025+,7920,3529,44.6,2254,63.9,2416,68.5
