PLAN_TYPE,PRIOR_SEGMENT,CURRENT_SEGMENT,SUBSCRIBER_COUNT,AVG_MONTHLY_TRANSITIONS
business,ACTIVE_BROWSER,ACTIVE_BROWSER,26,4
business,ACTIVE_BROWSER,ACTIVE_DOWNLOADER,39,7
business,ACTIVE_BROWSER,EARLY_LAPSE,46,8
business,ACTIVE_DOWNLOADER,ACTIVE_BROWSER,42,7
business,ACTIVE_DOWNLOADER,ACTIVE_DOWNLOADER,150,25
business,ACTIVE_DOWNLOADER,EARLY_LAPSE,70,12
business,DEEP_LAPSE,DEEP_LAPSE,26,4
business,DEEP_LAPSE,DORMANT,8,1
business,DORMANT,DORMANT,8,1
business,EARLY_LAPSE,ACTIVE_BROWSER,39,7
business,EARLY_LAPSE,ACTIVE_DOWNLOADER,52,9
business,EARLY_LAPSE,DEEP_LAPSE,35,6
business,EARLY_LAPSE,EARLY_LAPSE,50,8
creator,ACTIVE_BROWSER,ACTIVE_BROWSER,751,125
creator,ACTIVE_BROWSER,ACTIVE_DOWNLOADER,1095,183
creator,ACTIVE_BROWSER,DEEP_LAPSE,33,6
creator,ACTIVE_BROWSER,EARLY_LAPSE,2265,378
creator,ACTIVE_DOWNLOADER,ACTIVE_BROWSER,1376,229
creator,ACTIVE_DOWNLOADER,ACTIVE_DOWNLOADER,3250,542
creator,ACTIVE_DOWNLOADER,DEEP_LAPSE,28,5
creator,ACTIVE_DOWNLOADER,EARLY_LAPSE,3635,606
creator,DEEP_LAPSE,DEEP_LAPSE,2861,477
creator,DEEP_LAPSE,DORMANT,1717,286
creator,DORMANT,DORMANT,4151,692
creator,EARLY_LAPSE,ACTIVE_BROWSER,2588,431
creator,EARLY_LAPSE,ACTIVE_DOWNLOADER,3240,540
creator,EARLY_LAPSE,DEEP_LAPSE,2629,438
creator,EARLY_LAPSE,EARLY_LAPSE,4453,742
pro,ACTIVE_BROWSER,ACTIVE_BROWSER,1973,329
pro,ACTIVE_BROWSER,ACTIVE_DOWNLOADER,3697,616
pro,ACTIVE_BROWSER,DEEP_LAPSE,60,10
pro,ACTIVE_BROWSER,EARLY_LAPSE,4836,806
pro,ACTIVE_DOWNLOADER,ACTIVE_BROWSER,4345,724
pro,ACTIVE_DOWNLOADER,ACTIVE_DOWNLOADER,11003,1834
pro,ACTIVE_DOWNLOADER,DEEP_LAPSE,37,6
pro,ACTIVE_DOWNLOADER,EARLY_LAPSE,8428,1405
pro,DEEP_LAPSE,DEEP_LAPSE,4056,676
pro,DEEP_LAPSE,DORMANT,2110,352
pro,DORMANT,DORMANT,4936,823
pro,EARLY_LAPSE,ACTIVE_BROWSER,4776,796
pro,EARLY_LAPSE,ACTIVE_DOWNLOADER,7981,1330
pro,EARLY_LAPSE,DEEP_LAPSE,4188,698
pro,EARLY_LAPSE,EARLY_LAPSE,8264,1377
pro-plus,ACTIVE_BROWSER,ACTIVE_BROWSER,219,37
pro-plus,ACTIVE_BROWSER,ACTIVE_DOWNLOADER,444,74
pro-plus,ACTIVE_BROWSER,DEEP_LAPSE,5,1
pro-plus,ACTIVE_BROWSER,EARLY_LAPSE,432,72
pro-plus,ACTIVE_DOWNLOADER,ACTIVE_BROWSER,489,82
pro-plus,ACTIVE_DOWNLOADER,ACTIVE_DOWNLOADER,1186,198
pro-plus,ACTIVE_DOWNLOADER,DEEP_LAPSE,4,1
pro-plus,ACTIVE_DOWNLOADER,EARLY_LAPSE,664,111
pro-plus,DEEP_LAPSE,DEEP_LAPSE,269,45
pro-plus,DEEP_LAPSE,DORMANT,132,22
pro-plus,DORMANT,DORMANT,302,50
pro-plus,EARLY_LAPSE,ACTIVE_BROWSER,417,70
pro-plus,EARLY_LAPSE,ACTIVE_DOWNLOADER,620,103
pro-plus,EARLY_LAPSE,DEEP_LAPSE,278,46
pro-plus,EARLY_LAPSE,EARLY_LAPSE,632,105
straynote-billing,ACTIVE_BROWSER,ACTIVE_BROWSER,5,1
straynote-billing,ACTIVE_BROWSER,DEEP_LAPSE,1,0
straynote-billing,ACTIVE_BROWSER,EARLY_LAPSE,9,2
straynote-billing,ACTIVE_DOWNLOADER,ACTIVE_BROWSER,3,1
straynote-billing,ACTIVE_DOWNLOADER,ACTIVE_DOWNLOADER,3,1
straynote-billing,ACTIVE_DOWNLOADER,EARLY_LAPSE,6,1
straynote-billing,DEEP_LAPSE,DEEP_LAPSE,7,1
straynote-billing,DEEP_LAPSE,DORMANT,4,1
straynote-billing,DORMANT,DORMANT,30,5
straynote-billing,EARLY_LAPSE,ACTIVE_BROWSER,7,1
straynote-billing,EARLY_LAPSE,ACTIVE_DOWNLOADER,5,1
straynote-billing,EARLY_LAPSE,DEEP_LAPSE,7,1
straynote-billing,EARLY_LAPSE,EARLY_LAPSE,10,2
twitch-pro,ACTIVE_BROWSER,ACTIVE_BROWSER,11,2
twitch-pro,ACTIVE_BROWSER,EARLY_LAPSE,51,9
twitch-pro,ACTIVE_DOWNLOADER,ACTIVE_DOWNLOADER,1,0
twitch-pro,ACTIVE_DOWNLOADER,EARLY_LAPSE,2,0
twitch-pro,DEEP_LAPSE,DEEP_LAPSE,78,13
twitch-pro,DEEP_LAPSE,DORMANT,73,12
twitch-pro,DORMANT,DORMANT,146,24
twitch-pro,EARLY_LAPSE,ACTIVE_BROWSER,25,4
twitch-pro,EARLY_LAPSE,ACTIVE_DOWNLOADER,1,0
twitch-pro,EARLY_LAPSE,DEEP_LAPSE,51,9
twitch-pro,EARLY_LAPSE,EARLY_LAPSE,37,6
