EVENT,EVENT_TS,SPOTIFY_TRACK_ID,SPOTIFY_ID,RESULTS_COUNT,TRACK_TITLE_DISPLAY,CONTENT_PARTNERS,RESULTS,ERROR_MESSAGE,TRIGGER,SEARCH_TYPE
Reference Track Search Sign Up Modal Opened,2026-03-27 00:19:20.000000000,,,,,,,,URL Param,
Reference Track Search Sign Up Modal Opened,2026-03-27 00:19:20.000000000,,,,,,,,URL Param,
Reference Track Search Sign Up Modal Opened,2026-03-27 00:19:20.000000000,,,,,,,,URL Param,
Reference Track Search Sign Up Modal Opened,2026-03-27 00:19:20.000000000,,,,,,,,URL Param,
Reference Track Search Sign Up Modal Opened,2026-03-27 00:19:20.000000000,,,,,,,,URL Param,
Reference Track Search Error,2026-03-26 23:34:49.000000000,,,,,,,No Spotify match,,
Reference Track Search Error,2026-03-26 23:34:49.000000000,,,,,,,No Spotify match,,
Reference Track Search Error,2026-03-26 23:34:49.000000000,,,,,,,No Spotify match,,
Reference Track Search Error,2026-03-26 23:34:47.000000000,,5tvswIgrP9wpvHXfo4ZEqK,,Dead Mom (from Beetlejuice) - Instrumental by  CurtainUp Karaoke,,,Track not analyzed,,
Reference Track Search Error,2026-03-26 23:34:47.000000000,,5tvswIgrP9wpvHXfo4ZEqK,,Dead Mom (from Beetlejuice) - Instrumental by  CurtainUp Karaoke,,,Track not analyzed,,
