EVENT,EVENT_DATE,HAS_VOCALS,RESULT_COUNT,SUPE
Searched Songs,2026-03-25,All,2278,False
Searched Songs,2026-03-25,All,598,False
Searched Songs,2026-03-25,All,30251,True
Searched Songs,2026-03-25,All,73,False
Searched Songs,2026-03-25,All,6,False
Searched Songs,2026-03-25,All,20,False
Searched Songs,2026-03-25,All,11025,True
Searched Songs,2026-03-25,All,405,False
Searched Songs,2026-03-25,All,29855,False
Searched Songs,2026-03-25,All,252,False
Searched Songs,2026-03-25,All,0,False
Searched Songs,2026-03-25,All,1,False
Searched Songs,2026-03-25,All,749,False
Searched Songs,2026-03-25,All,1885,False
Searched Songs,2026-03-25,All,31,False
Searched Songs,2026-03-25,All,0,False
Searched Songs,2026-03-25,All,0,False
Searched Songs,2026-03-25,Instrumental,1208,False
Searched Songs,2026-03-25,All,11025,True
Searched Songs,2026-03-25,Instrumental,2687,False
