DELIVERY_MONTH,NOTIFICATION_TYPE,DELIVERY_COUNT
2025-02-01,genericNotification,2086
2025-02-01,targetedNotification,2
2025-03-01,genericNotification,29886
2025-04-01,genericNotification,30815
2025-04-01,targetedNotification,5398
2025-05-01,automatedNotification,149200
2025-05-01,genericNotification,23936
2025-05-01,targetedNotification,113107
2025-06-01,automatedNotification,440089
2025-06-01,genericNotification,12968
2025-06-01,targetedNotification,250737
2025-07-01,automatedNotification,403874
2025-07-01,genericNotification,9609
2025-07-01,targetedNotification,38062
2025-08-01,automatedNotification,193669
2025-08-01,genericNotification,8526
2025-09-01,automatedNotification,155427
2025-09-01,genericNotification,20578
2025-10-01,automatedNotification,51183
2025-10-01,genericNotification,7383
2025-11-01,automatedNotification,7345
2025-11-01,targetedNotification,287348
2025-12-01,automatedNotification,25025
2025-12-01,targetedNotification,293444
2026-01-01,automatedNotification,93863
2026-01-01,genericNotification,1902
2026-02-01,automatedNotification,49526
2026-02-01,genericNotification,2670
2026-03-01,automatedNotification,496450
2026-03-01,genericNotification,14626
2026-03-01,targetedNotification,45407
2026-04-01,automatedNotification,61
2026-04-01,genericNotification,855
