DELIVERY_MONTH,NOTIFICATION_TYPE,TOTAL_DELIVERIES,READ_COUNT,READ_RATE_PCT
2025-02-01,genericNotification,2086,2080,99.71
2025-02-01,targetedNotification,2,2,100.00
2025-03-01,genericNotification,29886,29710,99.41
2025-04-01,genericNotification,30815,30552,99.15
2025-04-01,targetedNotification,5398,1223,22.66
2025-05-01,automatedNotification,149200,21048,14.11
2025-05-01,genericNotification,23936,23742,99.19
2025-05-01,targetedNotification,113107,18450,16.31
2025-06-01,automatedNotification,440089,59204,13.45
2025-06-01,genericNotification,12968,12823,98.88
2025-06-01,targetedNotification,250737,20198,8.06
2025-07-01,automatedNotification,403874,57239,14.17
2025-07-01,genericNotification,9609,9499,98.86
2025-07-01,targetedNotification,38062,6588,17.31
2025-08-01,automatedNotification,193669,27423,14.16
2025-08-01,genericNotification,8526,8383,98.32
2025-09-01,automatedNotification,155427,16593,10.68
2025-09-01,genericNotification,20578,20236,98.34
2025-10-01,automatedNotification,51183,9154,17.88
2025-10-01,genericNotification,7383,7183,97.29
2025-11-01,automatedNotification,7345,9,0.12
2025-11-01,targetedNotification,287348,5,0.00
2025-12-01,automatedNotification,25025,11,0.04
2025-12-01,targetedNotification,293444,3,0.00
2026-01-01,automatedNotification,93863,14,0.01
2026-01-01,genericNotification,1902,1867,98.16
2026-02-01,automatedNotification,49526,5,0.01
2026-02-01,genericNotification,2670,2605,97.57
2026-03-01,automatedNotification,496450,12,0.00
2026-03-01,genericNotification,14626,14272,97.58
2026-03-01,targetedNotification,45407,0,0.00
2026-04-01,automatedNotification,61,0,0.00
2026-04-01,genericNotification,855,840,98.25
