DELIVERY_MONTH,NOTIFICATION_TYPE,DELIVERY_COUNT
2025-02-01,genericNotification,2085
2025-02-01,targetedNotification,2
2025-03-01,genericNotification,29873
2025-04-01,genericNotification,25049
2025-04-01,targetedNotification,5398
2025-05-01,automatedNotification,149198
2025-05-01,genericNotification,23927
2025-05-01,targetedNotification,70382
2025-06-01,automatedNotification,440056
2025-06-01,genericNotification,12958
2025-06-01,targetedNotification,250702
2025-07-01,automatedNotification,403851
2025-07-01,genericNotification,9607
2025-07-01,targetedNotification,38048
2025-08-01,automatedNotification,193627
2025-08-01,genericNotification,8520
2025-09-01,automatedNotification,155417
2025-09-01,genericNotification,20553
2025-10-01,automatedNotification,51156
2025-10-01,genericNotification,7378
2025-11-01,automatedNotification,7344
2025-11-01,targetedNotification,287309
2025-12-01,automatedNotification,25021
2025-12-01,targetedNotification,293408
2026-01-01,automatedNotification,93856
2026-01-01,genericNotification,1902
2026-02-01,automatedNotification,49525
2026-02-01,genericNotification,2663
2026-03-01,automatedNotification,496450
2026-03-01,genericNotification,14587
2026-03-01,targetedNotification,45407
2026-04-01,automatedNotification,61
2026-04-01,genericNotification,959
