DELIVERY_MONTH,NOTIFICATION_TYPE,TOTAL_DELIVERIES,READ_COUNT,READ_RATE_PCT
2025-02-01,genericNotification,2085,2079,99.71
2025-02-01,targetedNotification,2,2,100.00
2025-03-01,genericNotification,29873,29712,99.46
2025-04-01,genericNotification,25049,24839,99.16
2025-04-01,targetedNotification,5398,1446,26.79
2025-05-01,automatedNotification,149198,26594,17.82
2025-05-01,genericNotification,23927,23755,99.28
2025-05-01,targetedNotification,70382,14821,21.06
2025-06-01,automatedNotification,440056,79951,18.17
2025-06-01,genericNotification,12958,12831,99.02
2025-06-01,targetedNotification,250702,27300,10.89
2025-07-01,automatedNotification,403851,81752,20.24
2025-07-01,genericNotification,9607,9511,99.00
2025-07-01,targetedNotification,38048,9177,24.12
2025-08-01,automatedNotification,193627,40499,20.92
2025-08-01,genericNotification,8520,8400,98.59
2025-09-01,automatedNotification,155417,32280,20.77
2025-09-01,genericNotification,20553,20261,98.58
2025-10-01,automatedNotification,51156,26182,51.18
2025-10-01,genericNotification,7378,7204,97.64
2025-11-01,automatedNotification,7344,2979,40.56
2025-11-01,targetedNotification,287309,4906,1.71
2025-12-01,automatedNotification,25021,9706,38.79
2025-12-01,targetedNotification,293408,4563,1.56
2026-01-01,automatedNotification,93856,23156,24.67
2026-01-01,genericNotification,1902,1881,98.90
2026-02-01,automatedNotification,49525,6822,13.77
2026-02-01,genericNotification,2663,2615,98.20
2026-03-01,automatedNotification,496450,7536,1.52
2026-03-01,genericNotification,14587,14322,98.18
2026-03-01,targetedNotification,45407,266,0.59
2026-04-01,automatedNotification,61,0,0.00
2026-04-01,genericNotification,959,939,97.91
