DELIVERY_MONTH,NOTIFICATION_TYPE,TOTAL_DELIVERIES,HAS_READ_AT,READ_RATE_PCT
2025-09-01,automatedNotification,155115,32270,20.80
2025-10-01,automatedNotification,51156,26181,51.18
2025-11-01,automatedNotification,7344,2979,40.56
2025-11-01,targetedNotification,287309,4905,1.71
2025-12-01,automatedNotification,25021,9700,38.77
2025-12-01,targetedNotification,293408,4561,1.55
2026-01-01,automatedNotification,93856,23145,24.66
2026-02-01,automatedNotification,49525,6821,13.77
2026-03-01,automatedNotification,496450,7516,1.51
2026-03-01,targetedNotification,45407,265,0.58
2026-04-01,automatedNotification,61,0,0.00
