ID,CREATED_AT,READ_AT,UPDATED_AT,NEVER_UPDATED,NOTIFICATION_TYPE
2619039,2026-01-08 23:54:59.352000000 +00:00,2026-01-08 23:55:11.719000000 +00:00,2026-01-08 23:55:11.720000000 +00:00,false,automatedNotification
2582232,2025-12-17 19:56:18.352000000 +00:00,2025-12-17 20:23:36.915000000 +00:00,2025-12-17 20:23:36.916000000 +00:00,false,automatedNotification
2288586,2025-12-05 13:45:41.713000000 +00:00,2025-12-05 13:49:34.860000000 +00:00,2025-12-05 13:49:34.861000000 +00:00,false,automatedNotification
2287950,2025-12-05 09:06:07.861000000 +00:00,2025-12-05 09:16:54.707000000 +00:00,2025-12-05 09:16:54.708000000 +00:00,false,automatedNotification
2287446,2025-12-04 20:22:44.251000000 +00:00,2025-12-04 21:04:58.743000000 +00:00,2025-12-04 21:04:58.744000000 +00:00,false,automatedNotification
2287284,2025-12-03 22:20:12.441000000 +00:00,2025-12-03 22:21:24.100000000 +00:00,2025-12-03 22:21:24.101000000 +00:00,false,automatedNotification
2287282,2025-12-03 19:37:53.891000000 +00:00,2025-12-03 22:21:24.095000000 +00:00,2025-12-03 22:21:24.096000000 +00:00,false,automatedNotification
2287280,2025-12-03 16:55:00.786000000 +00:00,2025-12-03 17:41:23.291000000 +00:00,2025-12-03 17:41:23.292000000 +00:00,false,automatedNotification
2287275,2025-12-03 16:55:00.786000000 +00:00,2025-12-03 17:26:31.515000000 +00:00,2025-12-03 17:26:31.516000000 +00:00,false,automatedNotification
2280399,2025-11-19 20:09:35.995000000 +00:00,2025-11-19 21:57:00.546000000 +00:00,2025-11-19 21:57:00.551000000 +00:00,false,automatedNotification
2283756,2025-11-28 09:12:43.720000000 +00:00,2025-11-28 09:21:44.966000000 +00:00,2025-11-28 09:21:44.967000000 +00:00,false,automatedNotification
2582956,2025-12-19 09:08:44.114000000 +00:00,2025-12-19 09:18:10.985000000 +00:00,2025-12-19 09:18:10.986000000 +00:00,false,automatedNotification
2588355,2025-12-19 09:13:47.593000000 +00:00,2025-12-19 09:18:10.992000000 +00:00,2025-12-19 09:18:10.992000000 +00:00,false,automatedNotification
2708859,2026-02-11 09:46:02.740000000 +00:00,2026-02-11 10:11:53.836000000 +00:00,2026-02-11 10:11:53.836000000 +00:00,false,automatedNotification
2702646,2026-02-06 09:07:46.784000000 +00:00,2026-02-06 09:32:00.548000000 +00:00,2026-02-06 09:32:00.549000000 +00:00,false,automatedNotification
2701134,2026-02-02 13:48:13.436000000 +00:00,2026-02-02 14:43:22.353000000 +00:00,2026-02-02 14:43:22.353000000 +00:00,false,automatedNotification
2688172,2026-01-28 14:15:43.965000000 +00:00,2026-01-28 14:16:26.235000000 +00:00,2026-01-28 14:16:26.235000000 +00:00,false,automatedNotification
2697745,2026-01-30 09:17:12.249000000 +00:00,2026-01-30 09:37:01.382000000 +00:00,2026-01-30 09:37:01.382000000 +00:00,false,automatedNotification
3190546,2026-03-20 15:27:24.411000000 +00:00,2026-03-20 15:35:23.638000000 +00:00,2026-03-20 15:35:23.638000000 +00:00,false,automatedNotification
3156183,2026-03-20 14:48:34.572000000 +00:00,2026-03-20 14:58:58.247000000 +00:00,2026-03-20 14:58:58.248000000 +00:00,false,automatedNotification
3125030,2026-03-20 14:14:20.506000000 +00:00,2026-03-20 15:00:16.392000000 +00:00,2026-03-20 15:00:16.393000000 +00:00,false,automatedNotification
3165496,2026-03-20 14:59:06.638000000 +00:00,2026-03-20 15:35:23.634000000 +00:00,2026-03-20 15:35:23.635000000 +00:00,false,automatedNotification
3138714,2026-03-20 14:30:35.984000000 +00:00,2026-03-20 14:53:04.437000000 +00:00,2026-03-20 14:53:04.438000000 +00:00,false,automatedNotification
2700876,2026-01-30 09:20:04.527000000 +00:00,2026-01-30 09:37:01.388000000 +00:00,2026-01-30 09:37:01.388000000 +00:00,false,automatedNotification
2950130,2026-03-20 11:47:57.169000000 +00:00,2026-03-20 12:10:04.747000000 +00:00,2026-03-20 12:10:04.747000000 +00:00,false,automatedNotification
2950232,2026-03-20 11:48:03.835000000 +00:00,2026-03-20 12:28:46.712000000 +00:00,2026-03-20 12:28:46.712000000 +00:00,false,automatedNotification
3022879,2026-03-20 12:39:20.751000000 +00:00,2026-03-20 13:17:55.121000000 +00:00,2026-03-20 13:17:55.122000000 +00:00,false,automatedNotification
3209613,2026-03-27 09:19:06.394000000 +00:00,2026-03-27 10:19:49.063000000 +00:00,2026-03-27 10:19:49.064000000 +00:00,false,automatedNotification
2646982,2026-01-16 09:16:02.679000000 +00:00,2026-01-16 09:36:30.466000000 +00:00,2026-01-16 09:36:30.467000000 +00:00,false,automatedNotification
2635981,2026-01-16 09:08:03.764000000 +00:00,2026-01-16 09:36:30.451000000 +00:00,2026-01-16 09:36:30.451000000 +00:00,false,automatedNotification
2644151,2026-01-16 09:14:13.183000000 +00:00,2026-01-16 09:36:30.461000000 +00:00,2026-01-16 09:36:30.462000000 +00:00,false,automatedNotification
2641905,2026-01-16 09:12:46.406000000 +00:00,2026-01-16 09:36:30.456000000 +00:00,2026-01-16 09:36:30.457000000 +00:00,false,automatedNotification
2647460,2026-01-16 09:16:23.679000000 +00:00,2026-01-16 09:36:30.470000000 +00:00,2026-01-16 09:36:30.471000000 +00:00,false,automatedNotification
2638119,2026-01-16 09:09:50.720000000 +00:00,2026-01-16 09:36:30.445000000 +00:00,2026-01-16 09:36:30.446000000 +00:00,false,automatedNotification
2655931,2026-01-23 09:12:38.314000000 +00:00,2026-01-23 09:37:22.029000000 +00:00,2026-01-23 09:37:22.030000000 +00:00,false,automatedNotification
2663032,2026-01-23 09:17:52.695000000 +00:00,2026-01-23 09:37:22.034000000 +00:00,2026-01-23 09:37:22.035000000 +00:00,false,automatedNotification
2652262,2026-01-23 09:09:04.147000000 +00:00,2026-01-23 09:37:22.016000000 +00:00,2026-01-23 09:37:22.017000000 +00:00,false,automatedNotification
2653420,2026-01-23 09:10:31.379000000 +00:00,2026-01-23 09:37:22.024000000 +00:00,2026-01-23 09:37:22.024000000 +00:00,false,automatedNotification
2716359,2026-02-20 09:09:44.329000000 +00:00,2026-02-20 09:14:42.699000000 +00:00,2026-02-20 09:14:42.700000000 +00:00,false,automatedNotification
2717542,2026-02-20 09:11:05.004000000 +00:00,2026-02-20 09:24:52.893000000 +00:00,2026-02-20 09:24:52.894000000 +00:00,false,automatedNotification
2542932,2025-12-11 15:24:25.245000000 +00:00,2025-12-11 15:30:24.724000000 +00:00,2025-12-11 15:30:24.724000000 +00:00,false,targetedNotification
2088937,2025-11-18 12:29:18.184000000 +00:00,2025-11-18 12:43:23.656000000 +00:00,2025-11-18 12:43:23.657000000 +00:00,false,targetedNotification
1998452,2025-11-18 11:57:39.643000000 +00:00,2025-11-18 12:11:19.828000000 +00:00,2025-11-18 12:11:19.831000000 +00:00,false,targetedNotification
2012615,2025-11-18 11:59:41.341000000 +00:00,2025-11-18 12:00:21.346000000 +00:00,2025-11-18 12:00:21.346000000 +00:00,false,targetedNotification
2268911,2025-11-18 13:23:08.818000000 +00:00,2025-11-18 13:38:11.932000000 +00:00,2025-11-18 13:38:11.932000000 +00:00,false,targetedNotification
2012624,2025-11-18 11:59:41.454000000 +00:00,2025-11-18 12:10:26.224000000 +00:00,2025-11-18 12:10:26.225000000 +00:00,false,targetedNotification
1992484,2025-11-06 21:58:44.282000000 +00:00,2025-11-06 21:59:19.656000000 +00:00,2025-11-06 21:59:19.657000000 +00:00,false,automatedNotification
2849949,2026-03-20 10:12:42.497000000 +00:00,2026-03-20 11:38:37.061000000 +00:00,2026-03-20 11:38:37.062000000 +00:00,false,automatedNotification
3133887,2026-03-20 14:25:14.411000000 +00:00,2026-03-20 15:35:23.622000000 +00:00,2026-03-20 15:35:23.623000000 +00:00,false,automatedNotification
