CMS_ENTRY_ID,CREATED_AT,ID,READ_AT,UPDATED_AT,USER_ID,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
501564,2025-07-04 09:31:58.889000000 +00:00,1134207,,2025-07-04 09:31:58.889000000 +00:00,128178,2025-11-10 18:57:13.231000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800240320922345,1762800222882
139296,2025-06-08 11:09:52.622000000 +00:00,575268,,2025-06-08 11:09:52.622000000 +00:00,12413,2025-11-10 18:56:56.621000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800232442681342,1762800222882
342019,2025-06-27 10:23:54.020000000 +00:00,956487,,2025-06-27 10:23:54.020000000 +00:00,1393441,2025-11-10 18:57:07.702000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800237712166590,1762800222882
1062176,2025-09-19 10:03:40.120000000 +00:00,1891488,,2025-09-19 10:03:40.120000000 +00:00,873905,2025-11-10 18:57:37.726000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800251238656584,1762800222882
859115,2025-07-25 18:58:33.123000000 +00:00,1538215,,2025-07-25 18:58:33.123000000 +00:00,470506,2025-11-10 18:57:26.196000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800246094880055,1762800222882
83,2025-05-29 16:03:25.803000000 +00:00,181831,,2025-05-29 16:03:25.803000000 +00:00,12750,2025-11-10 18:56:44.998000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800226729251844,1762800222882
918838,2025-08-04 02:02:22.950000000 +00:00,1673537,,2025-08-04 02:02:22.950000000 +00:00,1601726,2025-11-10 18:57:30.695000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800248081482760,1762800222882
259768,2025-06-26 18:32:13.516000000 +00:00,776000,2025-06-29 14:01:40.417000000 +00:00,2025-06-29 14:01:40.418000000 +00:00,61980,2025-11-10 18:57:02.088000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800235097762388,1762800222882
795272,2025-07-25 18:07:20.475000000 +00:00,1474363,2025-08-07 13:08:28.682000000 +00:00,2025-08-07 13:08:28.683000000 +00:00,53511,2025-11-10 18:57:24.160000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800245260504701,1762800222882
282610,2025-06-27 09:39:28.959000000 +00:00,897078,,2025-06-27 09:39:28.959000000 +00:00,46248,2025-11-10 18:57:05.846000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800236834941147,1762800222882
647886,2025-07-11 10:40:20.446000000 +00:00,1321425,,2025-07-11 10:40:20.446000000 +00:00,65852,2025-11-10 18:57:19.119000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800243102038428,1762800222882
10,2025-03-26 18:30:47.709000000 +00:00,27053,2025-03-26 18:30:54.385000000 +00:00,2025-03-26 18:30:54.386000000 +00:00,1657369,2025-11-10 18:56:40.028000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800223573038397,1762800222882
279024,2025-06-27 09:34:55.424000000 +00:00,893492,,2025-06-27 09:34:55.424000000 +00:00,38314,2025-11-10 18:57:05.735000000 +00:00,2025-11-10 18:44:16.197000000 +00:00,1762800236793913853,1762800222882
