CONTENT_TYPE,CREATED_AT,DESCRIPTION,FILE,ID,PUBLISHED,TITLE,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
image/png,2026-03-11 14:54:41.743000000 +00:00,,V1__Discovery_Image_Reference_Track_Search.png,87,false,V1— Discovery Image Reference Track Search.png,2026-03-11 14:54:41.743000000 +00:00,2026-03-23 23:53:24.294000000 +00:00,2026-03-23 23:43:28.607000000 +00:00,1774309403832837441,1758147013265
,2026-03-11 13:57:51.810000000 +00:00,subscribers who have not downloaded a song in 3 months,20260320_inapp_hasntdownloadedsong.csv,86,false,20260320_inapp_hasntdownloadedsong,2026-03-11 13:57:51.810000000 +00:00,2026-03-11 15:44:49.822000000 +00:00,2026-03-11 15:43:30.482000000 +00:00,1773243805279110444,1758147013265
image/png,2026-03-09 18:05:42.929000000 +00:00,,Discovery_Page_Hero_Image.png,85,false,Discovery Page Hero Image.png,2026-03-09 18:05:42.929000000 +00:00,2026-03-11 14:44:46.769000000 +00:00,2026-03-11 14:43:30.082000000 +00:00,1773240204735592940,1758147013265
image/png,2026-03-04 17:03:14.825000000 +00:00,,V2_Wigton_SS_Discovery_Image.png,84,false,V2—Wigton SS Discovery Image.png,2026-03-04 17:03:14.825000000 +00:00,2026-03-09 18:49:58.240000000 +00:00,2026-03-09 18:43:26.844000000 +00:00,1773081802775552608,1758147013265
image/png,2026-03-03 22:28:37.484000000 +00:00,,V4_Discovery_Image_20__Off.png,83,false,V4—Discovery Image 20% Off.png,2026-03-03 22:28:37.484000000 +00:00,2026-03-04 17:46:28.288000000 +00:00,2026-03-04 17:43:28.957000000 +00:00,1772646203785010695,1758147013265
image/png,2026-03-03 21:06:05.091000000 +00:00,,V3_Discovery_Image_20__Off.png,82,false,V3—Discovery Image 20% Off.png,2026-03-03 21:06:05.091000000 +00:00,2026-03-03 22:48:06.680000000 +00:00,2026-03-03 22:43:29.256000000 +00:00,1772577804045541795,1758147013265
image/png,2026-03-02 22:59:10.588000000 +00:00,,V2__Discovery_Image_The_Soundstripe_Difference.png,81,false,V2— Discovery Image The Soundstripe Difference.png,2026-03-02 22:59:10.588000000 +00:00,2026-03-03 21:48:06.324000000 +00:00,2026-03-03 21:43:28.948000000 +00:00,1772574203725269536,1758147013265
,2026-02-27 14:48:44.400000000 +00:00,"",Cyclone_Discovery_Image-clean-v3.png,80,false,Cyclone_Discovery_Image-clean-v3,2026-02-27 14:48:44.400000000 +00:00,2026-03-02 23:46:31.118000000 +00:00,2026-03-02 23:43:30.212000000 +00:00,1772495004050667625,1758147013265
image/png,2026-02-23 22:53:45.271000000 +00:00,,Cyclone_Discovery_Image.png,79,false,Cyclone Discovery Image.png,2026-02-23 22:53:45.271000000 +00:00,2026-02-27 15:49:01.718000000 +00:00,2026-02-27 15:43:30.532000000 +00:00,1772207004969154033,1758147013265
image/png,2026-02-12 23:50:52.293000000 +00:00,,Heavyweight_Hero_Black_20260127.png,78,false,Heavyweight Hero Black_20260127.png,2026-02-12 23:50:52.293000000 +00:00,2026-02-23 23:52:22.395000000 +00:00,2026-02-23 23:43:27.467000000 +00:00,1771890203237643981,1758147013265
,2026-02-04 21:29:19.677000000 +00:00,"",Dave-Taylor_Test2_-_Sheet1.csv,77,false,Dave-Taylor Test 2,2026-02-04 21:29:19.677000000 +00:00,2026-02-13 00:50:04.241000000 +00:00,2026-02-13 00:43:26.231000000 +00:00,1770943402283110723,1758147013265
