CREATED_AT,DESCRIPTION,ID,IDENTIFIER,NAME,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
2026-02-12 19:58:31.131000000 +00:00,Content for discovery section on the music page,16,discoverySection,Discovery Section,2026-02-12 19:58:31.131000000 +00:00,2026-02-23 17:50:37.529000000 +00:00,2026-02-23 17:43:27.774000000 +00:00,1771868602685668860,1758147013414
2025-11-19 16:54:29.446000000 +00:00,Call-to-action overlay displayed in the audio player,15,audioPlayerCta,Audio Player CTA,2025-11-19 16:54:29.446000000 +00:00,2026-02-12 20:48:20.130000000 +00:00,2026-02-12 20:43:28.325000000 +00:00,1770929003499664935,1758147013414
2025-09-25 15:44:28.059000000 +00:00,Content for customizing sign up page elements based on UTM parameters,14,signUpPage,Sign Up Page,2025-09-25 15:44:28.059000000 +00:00,2025-11-19 17:49:31.588000000 +00:00,2025-11-19 17:43:28.837000000 +00:00,1763574202634684936,1758147013414
2025-06-30 20:34:18.786000000 +00:00,A task sourcing data for an item in a user's onboarding checklist.,13,onboardingTask,Onboarding Task,2025-06-30 20:34:18.786000000 +00:00,2025-09-25 16:51:10.630000000 +00:00,2025-09-25 16:43:36.472000000 +00:00,1758818605669936238,1758147013414
2025-02-14 18:41:21.294000000 +00:00,Generic in-app notifications for users,10,genericNotification,Generic Notification,2025-02-14 18:41:21.294000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534963581,1758147013414
2025-01-28 19:28:35.179000000 +00:00,Exclusive partner deals for Soundstripe members,6,memberDeal,Member Deal,2025-01-28 19:28:35.179000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534721035,1758147013414
2025-01-28 19:28:35.432000000 +00:00,Sticky Banner at the top of the page of the Web App.,9,stickyBanner,Sticky Banner,2025-01-28 19:28:35.432000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534910714,1758147013414
2025-02-21 21:59:43.607000000 +00:00,Targeted notifications for specific users via CSV,11,targetedNotification,Targeted Notification,2025-02-21 21:59:43.607000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013535014110,1758147013414
2025-01-28 19:28:35.035000000 +00:00,Main banner on the dashboard of the web app.,5,marketplaceBanner,Marketplace Banner,2025-01-28 19:28:35.035000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534667616,1758147013414
2025-05-13 19:49:46.310000000 +00:00,"",12,automatedNotification,Automated Notification,2025-05-13 19:49:46.310000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013535063386,1758147013414
2025-01-28 19:28:34.818000000 +00:00,Main Banner for Adobe (premiere pro) on the App's home page.,3,adobeBanner,Adobe Banner,2025-01-28 19:28:34.818000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534556873,1758147013414
2025-01-28 19:28:35.264000000 +00:00,Banner for mobile application,7,mobileAppBanner,Mobile App Banner,2025-01-28 19:28:35.264000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534809905,1758147013414
2025-01-28 19:28:35.374000000 +00:00,Content for the non-subscriber music page banner.,8,nonSubMusicPageBanner,Non Sub Music Page Banner,2025-01-28 19:28:35.374000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534861944,1758147013414
2025-01-28 19:28:34.697000000 +00:00,Main banner on the dashboard of the web app.,2,webAppBanner,Web App Banner,2025-01-28 19:28:34.697000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534493600,1758147013414
2025-01-28 19:28:34.947000000 +00:00,Marketplace New/Featured Artist Card.,4,marketplaceArtistCard,Marketplace Artist Card,2025-01-28 19:28:34.947000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534613347,1758147013414
2025-01-28 19:28:34.481000000 +00:00,Search page Banner,1,searchPageBanner,Search Page Banner,2025-01-28 19:28:34.481000000 +00:00,2025-09-17 22:10:43.229000000 +00:00,2025-09-17 22:10:16.123000000 +00:00,1758147013534384553,1758147013414
2026-02-23 16:46:45.222000000 +00:00,Hero banner for the Discover page,17,discoverPageBanner,Discover Page Banner,2026-02-23 16:46:45.222000000 +00:00,2026-04-02 14:47:22.276000000 +00:00,2026-04-02 14:43:29.276000000 +00:00,1775141003602109173,1758147013414
