CREATED_AT,ENTRY_ID,FIELD_ID,ID,UPDATED_AT,VALUE__DE,VALUE__IT,VALUE__ST,VALUE__VA,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION,VALUE__BO
2025-08-29 09:15:40.552000000 +00:00,947820,101,3791190,2025-08-29 09:15:40.552000000 +00:00,,,New Music,,2025-09-17 22:24:25.126000000 +00:00,2025-09-17 22:11:32.811000000 +00:00,1758147088834686768,1758147030103,
2025-07-04 09:27:04.674000000 +00:00,494364,100,1977424,2025-07-04 09:27:04.674000000 +00:00,,,Love Jade? Check out Nu Alkemi$t's newest releases and make your project pop.,,2025-09-17 22:24:00.585000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147060934767493,1758147030103,
2025-06-27 11:22:47.978000000 +00:00,434112,100,1736396,2025-06-27 11:22:47.978000000 +00:00,,,Love Far Flung? Check out Tiger Gang's newest releases and make your project pop.,,2025-09-17 22:23:51.024000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147057182550321,1758147030103,
2025-05-29 22:28:09.705000000 +00:00,42490,98,169994,2025-05-29 22:28:09.705000000 +00:00,,,You 💗 Vamos. Check out their hot new tracks.,,2025-09-17 22:23:33.595000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147033142251284,1758147030103,
2025-06-25 09:53:29.974000000 +00:00,146830,100,587268,2025-06-25 09:53:29.974000000 +00:00,,,Check out their latest release to fuel your creativity and keep you moving.,,2025-09-17 22:23:51.233000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147039804355009,1758147030103,
2025-06-27 11:34:57.288000000 +00:00,453921,98,1815631,2025-06-27 11:34:57.288000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:54.164000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147058406138169,1758147030103,
2025-07-18 10:00:53.395000000 +00:00,745664,101,2982529,2025-07-18 10:00:53.395000000 +00:00,,,New Music,,2025-09-17 22:23:53.950000000 +00:00,2025-09-17 22:11:25.515000000 +00:00,1758147076405401881,1758147030103,
2025-06-27 09:50:17.043000000 +00:00,291001,98,1163951,2025-06-27 09:50:17.043000000 +00:00,,,More where that came from 🎶,,2025-09-17 22:23:26.330000000 +00:00,2025-09-17 22:11:07.471000000 +00:00,1758147048751107505,1758147030103,
2025-05-29 22:26:34.004000000 +00:00,40085,98,160374,2025-05-29 22:26:34.004000000 +00:00,,,You 💗 At The Get Down. Check out their hot new tracks.,,2025-09-17 22:23:33.143000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147033052780187,1758147030103,
2025-05-29 22:49:34.365000000 +00:00,71351,98,285438,2025-05-29 22:49:34.365000000 +00:00,,,You 💗 Eighty Eight Groovin. Check out their hot new tracks.,,2025-09-17 22:23:38.680000000 +00:00,2025-09-17 22:10:49.761000000 +00:00,1758147034952585783,1758147030103,
