CONTENT_TYPE_ID,CREATED_AT,FIELD_TYPE,HELP_TEXT,ID,IDENTIFIER,NAME,REQUIRED,UPDATED_AT,VALIDATIONS,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION,APPEARANCE,POSITION
17,2026-02-23 16:46:45.692000000 +00:00,0,,137,primaryButtonPath,Primary Button Path,false,2026-02-23 16:46:45.692000000 +00:00,,2026-02-23 17:51:34.775000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603138253180,1758147092187,0,6
17,2026-02-23 16:46:45.341000000 +00:00,0,Small text above header (e.g. '100% HUMAN-MADE MUSIC'),132,subheader,Subheader,false,2026-02-23 16:46:45.341000000 +00:00,,2026-02-23 17:51:34.774000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603138006955,1758147092187,0,1
17,2026-02-23 16:46:45.293000000 +00:00,0,Main heading. Wrap text in <em> tags for pink italic styling.,131,title,Title,true,2026-02-23 16:46:45.293000000 +00:00,,2026-02-23 17:51:34.774000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603137947216,1758147092187,0,0
17,2026-02-23 16:46:45.619000000 +00:00,0,,136,primaryButtonText,Primary Button Text,false,2026-02-23 16:46:45.619000000 +00:00,,2026-02-23 17:51:34.775000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603138207390,1758147092187,0,5
17,2026-02-23 16:46:45.773000000 +00:00,0,,138,secondaryButtonText,Secondary Button Text,false,2026-02-23 16:46:45.773000000 +00:00,,2026-02-23 17:51:34.775000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603138315744,1758147092187,0,7
17,2026-02-23 16:46:45.571000000 +00:00,0,,135,imageAlt,Image Alt Text,false,2026-02-23 16:46:45.571000000 +00:00,,2026-02-23 17:51:34.775000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603138161598,1758147092187,0,4
17,2026-02-23 16:46:45.396000000 +00:00,0,,133,description,Description,false,2026-02-23 16:46:45.396000000 +00:00,"{""min_length"":"""",""max_length"":""300"",""allowed_values"":""""}",2026-02-23 17:51:34.774000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603138061482,1758147092187,0,2
17,2026-02-23 16:46:45.531000000 +00:00,5,Right-side image collage (desktop only). Recommended: 600x500px or similar.,134,image,Image,false,2026-02-23 16:46:45.531000000 +00:00,"{""allowed_types"":"""",""max_size"":"""",""dimensions"":{""min_width"":"""",""max_width"":"""",""min_height"":"""",""max_height"":""""}}",2026-02-23 17:51:34.775000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603138114208,1758147092187,0,3
16,2026-02-12 19:58:31.460000000 +00:00,7,Which plan type(s) should see this CTA (leave blank for all),130,planType,Plan Type,false,2026-02-12 19:58:31.460000000 +00:00,"{""options"":[""free"",""personal"",""visitor"",""pro"",""pro_plus"",""enterprise""]}",2026-02-23 17:51:34.774000000 +00:00,2026-02-23 17:43:26.711000000 +00:00,1771868603137840797,1758147092187,0,5
16,2026-02-12 19:58:31.273000000 +00:00,5,Please use an image w/ an aspect ratio of 2.056:1 (e.g. 617x300px). ,127,image,Image,false,2026-02-12 19:58:31.273000000 +00:00,"{""allowed_types"":"""",""max_size"":"""",""dimensions"":{""min_width"":"""",""max_width"":"""",""min_height"":"""",""max_height"":""""}}",2026-02-12 20:49:21.433000000 +00:00,2026-02-12 20:43:28.268000000 +00:00,1770929003929445579,1758147092187,0,2
15,2025-11-19 16:54:29.674000000 +00:00,7,Which plan type(s) should see this CTA (leave blank for all),124,planType,Plan Type,false,2025-11-19 16:54:29.674000000 +00:00,"{""options"":[""visitor"",""free"",""personal"",""pro"",""pro_plus"",""enterprise_business""]}",2026-02-12 20:49:21.432000000 +00:00,2026-02-12 20:43:28.268000000 +00:00,1770929003929234501,1758147092187,0,9
16,2026-02-12 19:58:31.190000000 +00:00,0,,125,title,Title,true,2026-02-12 19:58:31.190000000 +00:00,,2026-02-12 20:49:21.433000000 +00:00,2026-02-12 20:43:28.268000000 +00:00,1770929003929339077,1758147092187,0,0
16,2026-02-12 19:58:31.376000000 +00:00,0,,128,imageAlt,Image Alt Text,false,2026-02-12 19:58:31.376000000 +00:00,,2026-02-12 20:49:21.433000000 +00:00,2026-02-12 20:43:28.268000000 +00:00,1770929003929489438,1758147092187,0,3
16,2026-02-12 19:58:31.225000000 +00:00,0,,126,subtitle,Subtitle,false,2026-02-12 19:58:31.225000000 +00:00,"{""min_length"":"""",""max_length"":""125"",""allowed_values"":""""}",2026-02-12 20:49:21.433000000 +00:00,2026-02-12 20:43:28.268000000 +00:00,1770929003929397481,1758147092187,0,1
16,2026-02-12 19:58:31.430000000 +00:00,0,,129,linkUrl,Link URL,false,2026-02-12 19:58:31.430000000 +00:00,"{""min_length"":"""",""max_length"":"""",""allowed_values"":""""}",2026-02-12 20:49:21.433000000 +00:00,2026-02-12 20:43:28.268000000 +00:00,1770929003929533548,1758147092187,0,4
15,2025-11-19 16:54:29.614000000 +00:00,0,Visual style of the button,120,primaryButtonStyle,Primary Button Style,true,2025-11-19 16:54:29.614000000 +00:00,"{""allowed_values"":""primary,flat,white,black,pink,success,premium""}",2025-11-19 17:50:51.854000000 +00:00,2025-11-19 17:43:27.703000000 +00:00,1763574203068127351,1758147092187,1,
15,2025-11-19 16:54:29.515000000 +00:00,0,Secondary text below the title,116,subtitle,Subtitle,false,2025-11-19 16:54:29.515000000 +00:00,,2025-11-19 17:50:51.854000000 +00:00,2025-11-19 17:43:27.703000000 +00:00,1763574203067959080,1758147092187,0,
