MONTH,ANALYTICS_ROWS,TOTAL_SPEND_USD,TOTAL_IMPRESSIONS,ROWS_JOINED,ROWS_UNJOINED,UNJOINED_SPEND_USD,PCT_JOINED
2026-04-01,233,5037.086399,375431,1,232,5037.086399,0.4
2026-03-01,346,7207.999996,195136,0,346,7207.999996,0.0
2026-02-01,105,3616.305078,72251,1,104,3616.305078,1.0
2026-01-01,17,569.070000,0,0,17,569.070000,0.0
2025-12-01,22,623.460000,2011,22,0,0.000000,100.0
2025-11-01,49,561.420003,2578,49,0,0.000000,100.0
2025-10-01,5,258.010000,7443,5,0,0.000000,100.0
2025-09-01,152,2684.980003,25175,152,0,0.000000,100.0
2025-08-01,113,1462.699998,21151,113,0,0.000000,100.0
2025-07-01,68,1079.555597,16274,68,0,0.000000,100.0
2025-06-01,2,,,2,0,0.000000,100.0
2025-05-01,1,,,1,0,0.000000,100.0
2025-01-01,1,,,1,0,0.000000,100.0
2024-12-01,49,3539.210000,47284,49,0,0.000000,100.0
2024-11-01,120,2253.170000,26540,120,0,0.000000,100.0
2024-10-01,389,16073.800006,321507,389,0,0.000000,100.0
2024-09-01,8,116.670000,1718,8,0,0.000000,100.0
