MONTH,ANALYTICS_ROWS,TOTAL_SPEND_USD,MATCHED_RIGHT9,MATCHED_SPLIT,MATCHED_REGEX,PCT_RIGHT9,PCT_SPLIT,PCT_REGEX
2026-04-01,233,5037.086399,1,233,233,0.4,100.0,100.0
2026-03-01,346,7207.999996,0,346,346,0.0,100.0,100.0
2026-02-01,105,3616.305078,1,105,105,1.0,100.0,100.0
2026-01-01,17,569.070000,0,17,17,0.0,100.0,100.0
2025-12-01,22,623.460000,22,22,22,100.0,100.0,100.0
2025-11-01,49,561.420003,49,49,49,100.0,100.0,100.0
2025-10-01,5,258.010000,5,5,5,100.0,100.0,100.0
2025-09-01,152,2684.980003,152,152,152,100.0,100.0,100.0
2025-08-01,113,1462.699998,113,113,113,100.0,100.0,100.0
2025-07-01,68,1079.555597,68,68,68,100.0,100.0,100.0
2025-06-01,2,,2,2,2,100.0,100.0,100.0
2025-05-01,1,,1,1,1,100.0,100.0,100.0
2025-01-01,1,,1,1,1,100.0,100.0,100.0
2024-12-01,49,3539.210000,49,49,49,100.0,100.0,100.0
2024-11-01,120,2253.170000,120,120,120,100.0,100.0,100.0
2024-10-01,389,16073.800006,389,389,389,100.0,100.0,100.0
2024-09-01,8,116.670000,8,8,8,100.0,100.0,100.0
