MONTH,ROW_COUNT,DISTINCT_CREATIVES,TOTAL_SPEND_USD,TOTAL_IMPRESSIONS,TOTAL_CLICKS
2026-04-01,233,15,5037.086399,375431,44930
2026-03-01,346,16,7207.999996,195136,10253
2026-02-01,105,12,3616.3050779999994,72251,3140
2026-01-01,17,2,569.0699999999999,0,0
2025-12-01,22,2,623.4599999999999,2011,28
2025-11-01,49,2,561.420003,2578,29
2025-10-01,5,1,258.01,7443,30
2025-09-01,152,16,2684.9800029999997,25175,404
2025-08-01,113,24,1462.6999979999998,21151,121
2025-07-01,68,13,1079.555597,16274,58
2025-06-01,2,2,0,0,0
2025-05-01,1,1,0,0,0
2025-01-01,1,1,0,0,0
