CREATIVE_NAME,AD_ID,FIRST_ACTIVE_DATE,LAST_ACTIVE_DATE,PERF_ROWS,TOTAL_SPEND_USD,TOTAL_IMPRESSIONS,TOTAL_CLICKS
"",1149589834.00000,2026-02-25,2026-03-23,27,2566.455727,63200,3010
Consume Media + Jeff + Josh,1145217314.00000,2026-02-18,2026-04-21,63,2479.380129,34974,93
"",1233236344.00000,2026-03-23,2026-04-21,30,2077.276894,404897,50605
Duplicate_Buyers_Guide_v2,1229497884.00000,2026-03-06,2026-04-21,46,1968.862784,7562,103
Consume Media + Jeff + Josh,1145808954.00000,2026-02-18,2026-04-21,63,1354.925716,24654,42
"",1140490444.00000,2026-02-06,2026-03-04,21,1303.5852280000001,50373,2232
Agencies Ad,1133486234.00000,2026-01-26,2026-02-20,22,775.66,0,0
Consume Media + Jeff + Josh,1145117614.00000,2026-02-18,2026-04-21,63,711.4897709999999,12153,23
Duplicate_Buyers_Guide_v3_FORM,1227302314.00000,2026-03-06,2026-04-20,36,534.587144,3346,16
"",1146891354.00000,2026-02-18,2026-02-25,8,532.208917,14138,627
"",1246631624.00000,2026-04-14,2026-04-21,8,406.58052100000003,13462,1437
Brands 1,1129380514.00000,2026-01-21,2026-02-10,20,304.81,0,0
Duplicate_Buyers_Guide_v3,1229497874.00000,2026-03-06,2026-04-20,44,283.491822,1423,13
Duplicate_Buyers_Guide_v4,1227302324.00000,2026-03-06,2026-04-20,40,232.963771,1292,9
Duplicate_Buyers_Guide_v4_FORM,1229889474.00000,2026-03-06,2026-04-20,42,147.629264,989,3
Duplicate_Buyers_Guide_v1,1154001554.00000,2026-03-06,2026-04-20,40,139.575741,864,8
Duplicate_Buyers_Guide_v2_FORM,1229400874.00000,2026-03-06,2026-04-20,43,138.29089000000002,840,5
Duplicate_Buyers_Guide_v1_FORM,1154001544.00000,2026-03-06,2026-04-20,44,133.118582,847,4
"",1232412034.00000,2026-03-16,2026-03-23,8,123.154273,3500,32
Consume Media + Jeff + Josh,1145217324.00000,2026-02-18,2026-02-24,7,111.038327,199,0
Consume Media + Jeff + Josh,1145808964.00000,2026-02-18,2026-02-24,7,67.76707300000001,249,0
"",1235886214.00000,2026-03-23,2026-04-07,16,36.397966000000004,3808,57
"",1148489854.00000,2026-02-25,2026-02-25,1,1.210933,48,4
