TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE
HUBSPOT,COMPANIES,PROPERTY_CB_TOTALNOOFSUBSCRIPTION,VARIANT
HUBSPOT,COMPANIES,PROPERTY_CB_TOTALSUBSCRIPTIONMRR,VARIANT
HUBSPOT,COMPANIES,PROPERTY_EFFECTIVE_DATE_OF_FIRST_SUBSCRIPTION,VARIANT
HUBSPOT,COMPANIES,PROPERTY_ENTERPRISE_CUSTOMER_STATUS,VARIANT
HUBSPOT,COMPANIES,PROPERTY_HAS_SUBSCRIPTION,VARIANT
HUBSPOT,COMPANIES,PROPERTY_HS_IDEAL_CUSTOMER_PROFILE,VARIANT
HUBSPOT,COMPANIES,PROPERTY_HS_IS_TARGET_ACCOUNT,VARIANT
HUBSPOT,COMPANIES,PROPERTY_HS_TARGET_ACCOUNT_PROBABILITY,VARIANT
HUBSPOT,COMPANIES,PROPERTY_SUBSCRIPTION_END_DATE,VARIANT
HUBSPOT,COMPANIES,PROPERTY_TOTALNOOFSUBSCRIPTION,VARIANT
HUBSPOT,COMPANIES,PROPERTY_TOTALSUBSCRIPTIONMRR,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CB_CUSTOMERMRR,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CB_SUBSCRIPTIONID,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CB_SUBSCRIPTIONMRR,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CHARGEBEECUSTOMERID,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CHARGEBEE_CUSTOMER_ID,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CHARGEBEE_CUSTOMER_SITE,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CHARGEBEE_SUBSCRIPTION_STATUS,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CUSTOMER_CARE_CARD_SENT,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CUSTOMER_CARE_CARD_SENT_MONTH,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CUSTOMER_CHURN_DATE,VARIANT
HUBSPOT,CONTACTS,PROPERTY_CUSTOMER_HEALTH_SCORE,VARIANT
HUBSPOT,CONTACTS,PROPERTY_ENTERPRISE_CUSTOMER_STATUS,VARIANT
HUBSPOT,CONTACTS,PROPERTY_FREE_ACCOUNT_HEALTH_SCORE,VARIANT
HUBSPOT,CONTACTS,PROPERTY_HAS_FREE_ACCOUNT,VARIANT
HUBSPOT,CONTACTS,PROPERTY_HOW_INTERESTED_ARE_YOU_IN_CONTINUING_TO_PROMOTE_SOUNDSTRIPE_THROUGH_THE_PARTNER_PROGRAM_,VARIANT
HUBSPOT,CONTACTS,PROPERTY_HS_ASSOCIATED_TARGET_ACCOUNTS,VARIANT
HUBSPOT,CONTACTS,PROPERTY_HS_LIFECYCLESTAGE_CUSTOMER_DATE,VARIANT
HUBSPOT,CONTACTS,PROPERTY_HS_TIME_TO_MOVE_FROM_LEAD_TO_CUSTOMER,VARIANT
HUBSPOT,CONTACTS,PROPERTY_HS_TIME_TO_MOVE_FROM_MARKETINGQUALIFIEDLEAD_TO_CUSTOMER,VARIANT
HUBSPOT,CONTACTS,PROPERTY_HS_TIME_TO_MOVE_FROM_OPPORTUNITY_TO_CUSTOMER,VARIANT
